Ticker,mention_count,avg_sentiment,total_sentiment
BMO,2,0.0,0
JACK,2,1.0,2
JASO,2,1.0,2
IP,2,1.0,2
ITG,2,1.0,2
LIVE,2,1.0,2
LPG,2,1.0,2
LAND,2,0.0,0
SAM,2,0.0,0
RACE,2,0.0,0
RELY,2,1.0,2
RENT,2,0.0,0
PSX,2,-1.0,-2
PURE,2,0.0,0
PW,2,1.0,2
PZZA,2,0.0,0
PPS,2,1.0,2
PPT,2,0.0,0
CALM,2,0.0,0
SEM,2,-1.0,-2
SEP,2,0.0,0
GTE,2,1.0,2
CI,2,1.0,2
CBK,2,1.0,2
CCI,2,1.0,2
CECO,2,0.0,0
PPC,2,1.0,2
PII,2,1.0,2
PIM,2,1.0,2
PKI,2,1.0,2
PLUG,2,0.0,0
YGE,2,1.0,2
FNF,2,1.0,2
FONR,2,1.0,2
FORD,2,1.0,2
FOX,2,1.0,2
FI,2,1.0,2
FISH,2,0.0,0
FIT,2,1.0,2
GY,2,0.0,0
FEIC,2,1.0,2
EOC,2,0.0,0
ERA,2,1.0,2
MCS,2,1.0,2
MD,2,1.0,2
DV,2,0.0,0
EARN,2,0.0,0
EBIX,2,0.0,0
DMD,2,0.0,0
DNB,2,0.0,0
DPS,2,1.0,2
DSCO,2,1.0,2
DST,2,-1.0,-2
DTV,2,1.0,2
MAC,2,0.0,0
MACK,2,1.0,2
OPK,2,0.0,0
PETS,2,-1.0,-2
COMM,2,0.0,0
CME,2,1.0,2
CNK,2,-1.0,-2
CSC,2,1.0,2
NIHD,2,1.0,2
NJ,2,0.0,0
CP,2,1.0,2
IDTI,2,1.0,2
IEP,2,1.0,2
IHS,2,0.0,0
HR,2,0.0,0
HSBC,2,-1.0,-2
HZNP,2,1.0,2
HIG,2,-1.0,-2
HEAT,2,1.0,2
MC,2,0.0,0
MWIV,2,1.0,2
MTB,2,1.0,2
DG,2,1.0,2
MNTA,2,0.0,0
MORN,2,-1.0,-2
MPC,2,1.0,2
CVT,2,1.0,2
CVX,2,0.0,0
CWST,2,1.0,2
CWT,2,1.0,2
CVA,2,1.0,2
DB,2,1.0,2
DCIX,2,0.0,0
CYBX,2,1.0,2
MEET,2,-1.0,-2
MENT,2,1.0,2
NBS,2,1.0,2
NDAQ,2,1.0,2
MTZ,2,-1.0,-2
AC,2,1.0,2
ABCD,2,-1.0,-2
WDC,2,1.0,2
WAC,2,0.0,0
WBMD,2,1.0,2
VMC,2,1.0,2
VOC,2,1.0,2
AMC,2,1.0,2
TW,2,1.0,2
VET,2,0.0,0
VG,2,1.0,2
TWC,2,0.0,0
VA,2,1.0,2
TTI,2,1.0,2
TTMI,2,1.0,2
TTS,2,0.0,0
WIL,2,0.0,0
WISH,2,1.0,2
TUBE,1,1.0,1
TTNP,1,1.0,1
TTWO,1,1.0,1
VOD,1,1.0,1
ACM,1,1.0,1
AMAT,1,1.0,1
TZOO,1,1.0,1
UBS,1,-1.0,-1
VAC,1,1.0,1
ATR,1,1.0,1
VC,1,1.0,1
VGZ,1,1.0,1
AIXG,1,-1.0,-1
AIZ,1,1.0,1
ALOT,1,-1.0,-1
AMSF,1,1.0,1
AMBS,1,1.0,1
INKS,1,1.0,1
INST,1,1.0,1
INVE,1,1.0,1
AFFX,1,1.0,1
ACW,1,1.0,1
ADI,1,1.0,1
ADNC,1,1.0,1
HEOP,1,-1.0,-1
ASH,1,1.0,1
TEO,1,-1.0,-1
TER,1,-1.0,-1
TGH,1,1.0,1
ATW,1,1.0,1
AV,1,1.0,1
FDO,1,1.0,1
ININ,1,1.0,1
TSN,1,1.0,1
ANGO,1,-1.0,-1
AOS,1,-1.0,-1
TAS,1,-1.0,-1
TAXI,1,1.0,1
TBI,1,1.0,1
ASC,1,1.0,1
ASFI,1,-1.0,-1
APH,1,1.0,1
TOPPY,1,-1.0,-1
TOT,1,1.0,1
TOUR,1,-1.0,-1
TOWN,1,-1.0,-1
TRI,1,1.0,1
ASM,1,1.0,1
TSM,1,1.0,1
CUZ,1,-1.0,-1
CVE,1,-1.0,-1
CVI,1,1.0,1
CVM,1,1.0,1
MRGE,1,1.0,1
CWBC,1,1.0,1
NPBC,1,1.0,1
MTH,1,1.0,1
DDAIF,1,1.0,1
DEAR,1,-1.0,-1
DEO,1,-1.0,-1
DF,1,1.0,1
CX,1,-1.0,-1
NQ,1,-1.0,-1
CTX,1,1.0,1
CUR,1,-1.0,-1
CXW,1,1.0,1
CYCC,1,1.0,1
DAN,1,1.0,1
DANG,1,1.0,1
MGN,1,1.0,1
MINE,1,-1.0,-1
MJN,1,1.0,1
DD,1,1.0,1
NFG,1,1.0,1
NGG,1,-1.0,-1
MUC,1,1.0,1
MDP,1,1.0,1
MDT,1,1.0,1
MEI,1,1.0,1
MEN,1,1.0,1
MGIC,1,1.0,1
HSNI,1,-1.0,-1
HSY,1,1.0,1
MAT,1,1.0,1
MBFI,1,1.0,1
GTXI,1,1.0,1
IACI,1,-1.0,-1
IBCP,1,1.0,1
IBN,1,-1.0,-1
HTA,1,1.0,1
HWAY,1,1.0,1
HIBB,1,-1.0,-1
HILL,1,-1.0,-1
HIMX,1,1.0,1
HMC,1,1.0,1
IHT,1,-1.0,-1
HOS,1,1.0,1
MRK,1,-1.0,-1
MSEX,1,1.0,1
HOMB,1,1.0,1
FSC,1,1.0,1
HCI,1,1.0,1
HDB,1,1.0,1
HEB,1,1.0,1
HEMP,1,1.0,1
MTW,1,1.0,1
MTX,1,1.0,1
MOH,1,-1.0,-1
MVG,1,-1.0,-1
MWW,1,-1.0,-1
MYE,1,1.0,1
MYGN,1,-1.0,-1
NAVB,1,1.0,1
CRI,1,-1.0,-1
CSIQ,1,-1.0,-1
CSPI,1,1.0,1
CSS,1,-1.0,-1
CTT,1,1.0,1
CMI,1,1.0,1
CNDO,1,1.0,1
CNET,1,1.0,1
OSTK,1,1.0,1
NGS,1,1.0,1
NGVC,1,1.0,1
NHI,1,-1.0,-1
NNI,1,-1.0,-1
PAC,1,-1.0,-1
CPE,1,1.0,1
CPSS,1,1.0,1
OME,1,-1.0,-1
PACB,1,1.0,1
PACE,1,1.0,1
PARA,1,-1.0,-1
PAYX,1,1.0,1
PERF,1,1.0,1
OSG,1,1.0,1
OSK,1,1.0,1
IDA,1,1.0,1
OTEX,1,1.0,1
